Device Time, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (OBD)(mph)
04-Jun-2018 06:01:06.625,0.78,3.87,11.25,0.23,0.39,0.51,1.08,-,13.92,159.8,712.5,0,88.24,-,-,-,-,80.6,0
04-Jun-2018 06:01:07.616,0.57,-0.91,8.98,-0.06,0.09,-0.06,1.05,-,13.92,159.8,712.5,0,88.24,-,-,-,-,80.6,0
04-Jun-2018 06:01:08.615,-0.2,-0.6,8.38,-0.06,-0.23,-0.01,0.65,-,13.92,161.6,700,0,88.24,-,-,-,-,80.6,0
04-Jun-2018 06:01:09.615,-1.1,-0.65,8.49,-0.11,-0.11,-0.07,0.76,-,13.92,161.6,700,0,88.24,-,-,-,-,80.6,0
04-Jun-2018 06:01:10.616,-1.63,0.04,9.36,-0,-0.17,0,0.89,-,13.92,161.6,700,0,88.24,-,-,-,-,80.6,0
04-Jun-2018 06:01:11.615,-1.6,0.09,9.42,-0.01,-0.16,0.01,0.86,-,13.92,161.6,700,0,88.24,-,-,-,-,80.6,0
04-Jun-2018 06:01:12.615,-1.66,0.1,9.5,-0,-0.17,0.01,0.87,-,13.92,161.6,687.5,0,88.24,-,-,-,-,80.6,0
04-Jun-2018 06:01:13.618,-1.7,0.05,9.78,0,-0.17,0,0.9,-,13.92,161.6,687.5,0,88.24,-,-,-,-,80.6,0
04-Jun-2018 06:01:14.617,-3.65,0.38,8.85,-0.01,-0.37,0.04,0.8,-,13.92,161.6,675,0,88.24,-,-,-,-,80.6,0
04-Jun-2018 06:01:15.617,-2.7,1.39,12.85,0.36,-0.28,0.14,1.21,-,13.92,161.6,675,0,88.24,-,-,-,-,80.6,0
