Device Time, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (OBD)(mph)
06-Jun-2018 16:32:09.072,-0.63,8.61,4.27,0.02,-0.05,0.88,0.33,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:10.064,-0.42,8.35,4.06,-0.02,-0.03,0.88,0.33,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:11.065,-0.4,8.52,4.12,0.02,-0.07,0.86,0.33,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:12.065,-0.52,8.49,4.08,-0,-0.03,0.86,0.34,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:13.065,-0.55,8.47,4.16,0.02,-0,-0,0.01,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:14.067,-0.43,8.74,4.33,0.03,0.01,0.03,0.03,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:15.065,-0.57,8.94,4.28,0.03,-0,0.05,0.02,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:16.066,-0.56,8.76,4.19,0.02,-0,0.03,0.01,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:17.066,-0.15,8.42,3.83,-0.02,0.04,-0.01,-0.03,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:18.065,-0.54,8.25,4.5,-0,0,-0,0.04,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:19.066,-0.41,8.43,4.1,0.01,0.01,-0.01,0,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:20.065,-0.38,8.45,4.49,0.01,0.01,-0,0.04,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:21.067,-0.63,8.4,4.15,0.02,-0.01,-0.01,0.01,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:22.067,-0.53,8.8,3.81,0.02,-0.01,-0,0.02,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:23.065,-0.69,8.65,3.96,0.01,0,0.04,0,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:24.065,-0.54,8.71,4.3,0.02,-0,0.01,-0,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:25.066,-0.64,8.49,4,-0,0.03,0,-0.01,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:26.065,-0.63,8.59,4.18,0.01,-0.01,0.01,0.01,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:27.068,-0.76,8.66,4.48,0.04,-0.02,0.02,0.04,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:28.067,-0.45,8.56,3.85,0.01,0.01,0.01,-0.02,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:29.069,-0.69,8.74,4.59,0.02,-0.02,0.03,0.05,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:30.067,-0.64,9.07,5.38,0.12,-0.02,-0.2,0.04,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:31.065,-0.43,8.65,4.47,0.02,-0.01,0.05,0.03,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:32.064,-0.75,8.66,3.43,-0.01,0.01,0.03,-0.03,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:33.065,-0.54,8.84,4.01,0.03,-0,0.01,-0.02,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:34.065,-0.41,8.56,4.71,0.01,0.01,-0.01,0.07,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:35.066,-0.48,8.76,4.3,0.04,0,0.03,0.02,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:36.065,-0.63,8.72,4.31,0.04,-0.01,0.02,0.02,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:37.064,-0.73,8.74,4.02,0.02,-0.02,0.03,-0.01,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:38.064,-0.27,8.7,3.62,0.02,0.03,0.02,-0.05,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:39.064,-0.67,8.7,3.73,0.01,0.01,0.02,0.01,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:40.065,-0.36,8.65,3.99,0.01,0.01,0.02,-0.03,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:41.066,-0.32,8.71,4.42,0.03,-0.02,0.04,-0.01,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:32:42.069,-0.62,8.65,4.19,0.02,-0.03,0.03,0.04,-,14.36,141.8,787.5,0.01,54.12,506.75,168.25,33.02,-117.1,87.8,0
Device Time, G(x), G(y), G(z), G(calibrated), AC,Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Brake switch 5(bite),Closed throttle(bite),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (OBD)(mph)
06-Jun-2018 16:35:28.481,1.11,8.54,6.26,-0.04,1,0.03,-0.15,0.3,-,14.36,0,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:29.478,0.68,9.71,2.98,0.08,1,0.12,0.12,-0.11,-,14.36,0,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:30.478,-0.28,8.51,4.37,0.01,1,0.02,0,0.03,-,14.36,0,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:31.479,-0.52,8.78,4.26,0.02,1,0,0.03,0.02,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:32.477,-0.61,8.65,4.35,0.03,1,-0.01,0.02,0.03,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:33.476,-0.47,8.56,4.23,0.02,1,0,0.02,0.03,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:34.479,-0.33,8.56,4.12,0.02,1,-0.02,0.01,0.02,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:35.477,-0.46,8.63,3.92,0.02,1,0.01,0,0,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:36.478,-0.65,8.52,4.17,0.01,1,0,0,0.04,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:37.477,-0.79,8.6,4.34,0.01,1,-0.01,-0,0.01,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:38.477,-0.57,8.46,4.31,0,1,-0.01,-0.02,0.01,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:39.478,-0.64,8.43,3.88,0.01,1,-0.04,0,0.04,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:40.481,-0.61,8.74,4.69,0.01,1,-0.01,0,-0,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:41.480,-0.43,8.45,4.1,-0.01,1,-0.01,-0,-0.01,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:42.482,-0.44,8.69,4.4,0,1,-0,-0.03,0.01,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:43.481,-0.55,8.69,4.21,0.02,1,-0,0.01,0.06,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:44.477,-0.59,8.64,4.91,0.02,1,0.02,-0.02,0.01,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:45.480,-0.76,8.53,4.87,0.04,1,0.01,-0.02,0.05,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:46.478,-0.76,8.65,4.34,0.02,1,-0.03,0,0.04,-,14.36,1,1,141.8,737.5,0.01,54.12,501.38,168.25,33.02,-117.1,87.8,0
06-Jun-2018 16:35:47.478,-0.71,8.63,4.41,0.02,1,-0.03,0,0.05,-,14.36,1,1,141.8,737.5,0.01,54.12,492.01,42.55,33.02,-117.1,87.8,0
06-Jun-2018 16:35:48.479,-0.8,8.33,4.71,-0.01,1,-0.04,-0.03,0.08,-,14.36,1,1,141.8,737.5,0.01,54.12,489.97,28.28,33.02,-117.1,87.8,0
06-Jun-2018 16:35:49.478,-0.28,8.41,3.95,0.01,1,0.02,-0.02,0,-,14.36,0,1,141.8,737.5,0.01,54.12,489.97,28.28,33.02,-117.1,87.8,0
06-Jun-2018 16:35:50.481,-0.96,8.27,4.74,0,1,-0.05,-0.04,0.08,-,14.36,0,1,141.8,737.5,0.01,54.12,489.97,28.28,33.02,-117.1,87.8,0
06-Jun-2018 16:35:51.477,-1.02,8.02,4.39,-0,1,-0.06,-0.06,0.05,-,14.36,0,1,141.8,737.5,0.01,54.12,489.97,28.28,33.02,-117.1,87.8,0
06-Jun-2018 16:35:52.479,-0.57,8.2,4.09,-0.03,1,-0.02,-0.04,0.04,-,14.36,0,1,141.8,737.5,0.01,54.12,493.37,49.79,33.02,-117.1,87.8,0
06-Jun-2018 16:35:53.477,-1.83,8.46,4.02,0.03,1,-0.1,0.02,0.05,-,14.36,0,1,141.8,737.5,0.01,54.12,496.66,68.21,33.02,-117.1,87.8,0
06-Jun-2018 16:35:54.481,-1.12,9.24,2.86,0.03,1,-0.04,0.06,-0.09,-,14.36,1,1,141.8,737.5,0.01,54.12,495.54,66.69,33.02,-117.1,87.8,0
06-Jun-2018 16:35:55.480,-0.96,8.61,3.99,-0.01,1,-0.05,-0,0.01,-,14.36,1,1,141.8,737.5,0.01,54.12,487.06,71.76,33.02,-117.1,87.8,0
06-Jun-2018 16:35:56.479,-0.95,9.04,3.89,0.04,1,-0.05,0.04,-0,-,14.36,1,1,141.8,737.5,0.01,54.12,495.08,71.76,33.02,-117.1,87.8,0
06-Jun-2018 16:35:57.480,-1,9.07,4.41,0.07,1,-0.05,0.04,0.05,-,14.36,1,1,141.8,737.5,0.01,54.12,495.08,71.76,33.02,-117.1,87.8,0
06-Jun-2018 16:35:58.476,-0.67,8.72,4,0.02,1,-0.02,0.01,0.01,-,14.36,1,1,141.8,737.5,0.01,54.12,495.08,71.76,33.02,-117.1,87.8,0
06-Jun-2018 16:35:59.479,-0.97,8.71,3.73,0,1,-0.05,0.01,-0.02,-,14.36,0,1,141.8,737.5,0.01,54.12,495.64,291.02,33.02,-117.1,87.8,0
06-Jun-2018 16:36:00.476,-0.35,9.12,2.8,0.03,1,-0.09,0.1,-0.06,-,14.36,0,1,141.8,737.5,0.01,54.12,493.05,298.29,33.02,-117.1,87.8,0
06-Jun-2018 16:36:01.477,-0.29,9.56,2.84,0.05,1,-0.01,-0.02,-0.12,-,14.36,0,0,141.8,737.5,0.01,54.12,489.55,298.17,33.02,-117.1,87.8,0
06-Jun-2018 16:36:02.477,-1.3,9.17,4.68,0.02,1,-0.09,0.04,0.03,-,14.36,0,0,141.8,737.5,0.01,54.12,490.56,294.08,33.02,-117.1,87.8,0
06-Jun-2018 16:36:03.477,-1.22,8.87,4.43,0.03,1,-0.05,-0.01,0.03,-,14.36,0,1,141.8,737.5,0.01,54.12,494.23,294.52,33.02,-117.1,87.8,0
06-Jun-2018 16:36:04.476,-0.37,8.22,3.23,0,1,0.01,-0.04,-0.07,-,14.36,0,1,141.8,737.5,0.01,54.12,494.96,296.94,33.02,-117.1,87.8,0
