Device Time, G(x), G(y), G(z), G(calibrated), AC,Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Brake switch 5(bite),Closed throttle(bite),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (OBD)(mph)
09-Jun-2018 08:13:15.620,0.59,6.86,6.68,-0.01,-,0.02,-0,-0.01,-,13.92,1,1,123.8,1000,0,98.43,1306.94,28.97,33.02,-116.86,75.2,0
09-Jun-2018 08:13:16.615,0.46,6.77,6.68,-0.01,-,0,-0.01,-0.01,-,13.92,1,1,123.8,1000,0,98.43,1306.94,28.97,33.02,-116.86,75.2,0
09-Jun-2018 08:13:17.615,0.52,6.92,6.76,-0,-,0.02,-0,-0.01,-,13.92,1,1,123.8,1000,0,98.43,1306.94,28.97,33.02,-116.86,75.2,0
09-Jun-2018 08:13:18.614,0.5,6.94,6.63,-0.01,-,0.01,0.01,-0.02,-,13.92,1,1,123.8,1000,0,98.43,1306.94,28.97,33.02,-116.86,75.2,0
09-Jun-2018 08:13:19.614,0.58,6.88,6.83,-0.01,-,0.02,0,0,-,13.92,1,1,123.8,1000,0,98.43,1306.94,28.97,33.02,-116.86,75.2,0
09-Jun-2018 08:13:20.618,0.53,6.83,6.48,-0.03,-,0.01,-0,-0.03,-,13.92,1,1,123.8,1000,0,98.43,1306.94,28.97,33.02,-116.86,75.2,0
09-Jun-2018 08:13:21.614,0.6,6.82,6.6,-0.02,-,0.02,-0,-0.02,-,13.92,1,1,123.8,1000,0,98.43,1306.94,28.97,33.02,-116.86,75.2,0
09-Jun-2018 08:13:22.615,0.51,6.85,6.51,-0,-,0.01,0,0,-,13.92,1,1,123.8,1000,0,98.43,1306.94,28.97,33.02,-116.86,75.2,0
09-Jun-2018 08:13:23.614,0.5,7.12,6.49,-0.01,-,0.01,-0.02,-0.01,-,13.92,1,1,123.8,1000,0,98.43,1306.94,28.97,33.02,-116.86,75.2,0
09-Jun-2018 08:13:24.615,0.46,7.05,6.29,-0.02,-,0.01,0.01,0.01,-,13.92,0,1,123.8,1000,0,98.43,1306.94,28.97,33.02,-116.86,75.2,0
