Device Time, G(x),GPS Latitude(°),GPS Longitude(°)
6/9/2018 8:13 AM,0.59,33.02,-116.86
6/9/2018 8:13 AM,0.46,33.02,-116.86
6/9/2018 8:13 AM,0.52,33.02,-116.86
6/9/2018 8:13 AM,0.5,33.02,-116.86
6/9/2018 8:13 AM,0.58,33.02,-116.86
6/9/2018 8:13 AM,0.53,33.02,-116.86
6/9/2018 8:13 AM,0.6,33.02,-116.86
6/9/2018 8:13 AM,0.51,33.02,-116.86
6/9/2018 8:13 AM,0.5,33.02,-116.86
6/9/2018 8:13 AM,0.46,33.02,-116.86
6/9/2018 8:13 AM,0.42,33.02,-116.86
6/9/2018 8:13 AM,0.63,33.02,-116.86
6/9/2018 8:13 AM,0.57,33.02,-116.86
6/9/2018 8:13 AM,0.67,33.02,-116.86
6/9/2018 8:13 AM,0.52,33.02,-116.86
6/9/2018 8:13 AM,0.6,33.02,-116.86
6/9/2018 8:13 AM,0.75,33.02,-116.86
6/9/2018 8:13 AM,0.78,33.02,-116.86
6/9/2018 8:13 AM,0.98,33.02,-116.86
6/9/2018 8:13 AM,1.04,33.02,-116.86
6/9/2018 8:13 AM,1.27,33.02,-116.86
6/9/2018 8:13 AM,1.12,33.02,-116.86
6/9/2018 8:13 AM,0.92,33.02,-116.86
6/9/2018 8:13 AM,0.66,33.02,-116.86
6/9/2018 8:13 AM,0.81,33.02,-116.86
6/9/2018 8:13 AM,0.74,33.02,-116.86
6/9/2018 8:13 AM,0.6,33.02,-116.86
6/9/2018 8:13 AM,0.47,33.02,-116.86
6/9/2018 8:13 AM,0.89,33.02,-116.86
6/9/2018 8:13 AM,1.22,33.02,-116.86
6/9/2018 8:13 AM,0.63,33.02,-116.86
6/9/2018 8:13 AM,1.56,33.02,-116.86
6/9/2018 8:13 AM,1.29,33.03,-116.86
6/9/2018 8:13 AM,1.25,33.03,-116.86
6/9/2018 8:13 AM,1.42,33.03,-116.86
6/9/2018 8:13 AM,1.23,33.03,-116.86
6/9/2018 8:13 AM,1.3,33.03,-116.86
6/9/2018 8:13 AM,0.26,33.03,-116.86
6/9/2018 8:13 AM,0.29,33.03,-116.86
6/9/2018 8:13 AM,0.71,33.03,-116.86
6/9/2018 8:13 AM,0.56,33.03,-116.86
6/9/2018 8:13 AM,0.47,33.03,-116.86
6/9/2018 8:13 AM,1.8,33.03,-116.86
6/9/2018 8:13 AM,1.18,33.03,-116.86
6/9/2018 8:14 AM,1,33.03,-116.86
6/9/2018 8:14 AM,0.88,33.03,-116.86
6/9/2018 8:14 AM,0.58,33.03,-116.86
6/9/2018 8:14 AM,0.12,33.03,-116.86
6/9/2018 8:14 AM,0.57,33.03,-116.86
6/9/2018 8:14 AM,0.97,33.03,-116.86
6/9/2018 8:14 AM,-0.29,33.03,-116.86
6/9/2018 8:14 AM,0.71,33.03,-116.86
6/9/2018 8:14 AM,-0.62,33.03,-116.86
6/9/2018 8:14 AM,-0.35,33.03,-116.86
6/9/2018 8:14 AM,0.89,33.03,-116.86
6/9/2018 8:14 AM,0.48,33.03,-116.86
6/9/2018 8:14 AM,0.72,33.03,-116.86
6/9/2018 8:14 AM,0.88,33.03,-116.86
6/9/2018 8:14 AM,0.59,33.03,-116.86
6/9/2018 8:14 AM,0.75,33.03,-116.86
6/9/2018 8:14 AM,0.72,33.03,-116.86
6/9/2018 8:14 AM,1.02,33.03,-116.86
6/9/2018 8:14 AM,0.34,33.03,-116.86
