Device Time, G(x), G(y), G(z), G(calibrated), AC,Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Brake switch 5(bite),Closed throttle(bite),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (OBD)(mph)
07-Jun-2018 12:52:54.189,-0.97,1.49,8.65,0.02,0,-0.08,0.19,0.8,-,14.36,0,0,192.2,2575,0.06,34.12,583.91,173.58,32.99,-117.08,84.2,39.77
07-Jun-2018 12:52:55.184,-0.99,2.06,9.97,0.08,0,-0.23,0.21,0.91,-,14.36,0,0,192.2,2575,0.06,34.12,584.14,173.66,32.99,-117.08,84.2,39.77
07-Jun-2018 12:52:56.185,1.65,8.44,7.41,0.15,0,0.32,0.72,0.72,-,14.36,0,0,192.2,2575,0.06,34.12,573.78,172.9,32.99,-117.08,84.2,39.77
07-Jun-2018 12:52:57.183,-0.16,11.46,8.23,0.15,0,0.11,0.75,0.61,-,14.36,0,0,192.2,2575,0.06,34.12,572.67,172.26,32.99,-117.08,84.2,39.77
07-Jun-2018 12:52:58.184,-0.97,6.29,3.4,-0.23,0,-0.1,0.64,0.25,-,14.36,0,0,192.2,2575,0.06,34.12,572.5,174.16,32.99,-117.08,84.2,39.77
07-Jun-2018 12:52:59.186,-1.96,7.84,6.22,-0.01,0,-0.19,-0.2,0.5,-,14.36,0,0,192.2,2575,0.06,34.12,576.29,174.45,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:00.184,0.23,6.3,7,-0.01,0,0.02,0.64,0.61,-,14.36,0,0,192.2,2575,0.06,34.12,573.35,173.88,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:01.183,-0.22,7.4,8.12,0.03,0,-0.02,0.75,0.73,-,14.36,0,0,192.2,2575,0.06,34.12,571.67,173.19,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:02.184,-1,6.56,6.78,-0,0,-0.15,0.72,0.65,-,14.36,0,0,192.2,2575,0.06,34.12,568.03,172.31,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:03.185,-0.48,7.35,7.88,0.13,0,-0.02,0.71,0.59,-,14.36,0,0,192.2,2575,0.06,34.12,565.44,170.3,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:04.184,-0.74,5.43,7.66,0,0,-0.08,0.55,0.68,-,14.36,0,0,192.2,2575,0.06,34.12,563.88,169.23,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:05.184,0.28,7.18,6.02,-0.05,0,0.03,0.73,0.51,-,14.36,0,0,192.2,2575,0.06,34.12,560.58,168.4,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:06.185,-0.84,7.07,8.04,0.13,0,-0.09,0.72,0.72,-,14.36,0,0,192.2,2575,0.06,34.12,555.32,168.16,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:07.184,0.28,6.71,8.19,0.2,0,0.1,0.1,0.18,-,14.36,0,0,192.2,2575,0.06,34.12,552.04,167.87,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:08.183,1,5.83,6.23,0.03,0,0.17,0.01,-0.02,-,14.36,0,0,192.2,2575,0.06,34.12,547.85,168.66,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:09.183,-0.89,5.77,7.06,0.05,0,-0.02,0,0.07,-,14.36,0,0,192.2,2575,0.06,34.12,544.86,170,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:10.188,-0.79,5.71,7.97,0.13,0,-0.01,-0,0.16,-,14.36,0,0,192.2,2575,0.06,34.12,541.23,171.19,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:11.182,-0.6,6.64,7.4,0.14,0,-0,-0.01,0.13,-,14.36,0,0,192.2,2575,0.06,34.12,537.44,171.15,32.99,-117.08,84.2,39.77
07-Jun-2018 12:53:12.182,-1.03,5.87,7.24,-0.01,0,0.02,0.03,-0.01,-,14.36,0,0,192.2,2575,0.06,34.12,534.04,170.07,32.99,-117.08,84.2,39.77
