Device Time, G(x), G(y), G(z), G(calibrated), 100-0kph Time(s),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Brake switch 5(bite),Closed throttle(bite),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (GPS)(mph),Speed (OBD)(mph),AC
09-Jun-2018 16:39:56.761,-0.71,8.25,4.31,0.01,-,-0.07,0.85,0.4,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:39:57.753,-0.69,8.22,4.75,-0.01,-,0.01,0,0.01,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:39:58.755,-0.57,8.43,4.55,0,-,0,-0.01,0.01,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:39:59.752,-0.78,8.42,4.75,-0,-,0,-0,-0,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:00.752,-0.7,8.19,4.69,-0.01,-,0.01,0.01,0.02,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:01.751,-0.64,8.39,4.69,0.01,-,0.01,0,0.02,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:02.752,-0.75,8.36,4.58,-0,-,-0,-0,-0.01,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:03.751,-0.74,8.34,4.79,-0,-,-0,-0,0.01,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:04.752,-0.79,8.27,4.78,-0,-,-0.01,-0.01,0.01,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:05.752,-0.64,8.26,4.75,-0,-,0.01,-0.01,0,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:06.752,-0.73,8.26,4.41,-0.02,-,-0,0.02,0.02,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:07.751,-0.72,8.29,4.85,0,-,-0.01,-0.02,0.03,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:08.753,-0.44,8.12,4.49,-0.03,-,0.02,-0.04,0.01,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:09.752,-0.72,8.47,4.72,0,-,-0.01,-0.01,0.03,-,13.92,1,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:10.753,-0.68,8.49,4.83,0.02,-,0,0.01,0.02,-,13.92,0,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:11.752,-0.7,8.25,4.9,-0,-,0,-0.01,0.03,-,13.92,0,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:12.752,-0.44,8.36,4.79,0,-,0.03,-0,0.01,-,13.92,0,1,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:13.751,-0.6,8.26,4.77,-0,-,0.01,-0.01,0.01,-,13.92,0,0,206.6,650,0,88.24,1445.76,184.35,33.04,-116.88,123.8,0,0,-
09-Jun-2018 16:40:14.751,-0.29,7.91,5.28,-0.01,-,0.04,-0.05,0.06,-,13.92,0,0,206.6,650,0,88.24,1402.52,319.32,33.04,-116.88,123.8,2.37,0,-
09-Jun-2018 16:40:15.750,-0.1,8,4.56,-0.02,-,0.08,-0.02,0,-,13.92,0,0,206.6,650,0,88.24,1400.43,291.18,33.04,-116.88,123.8,4.3,0,-
09-Jun-2018 16:40:16.752,0.25,9.04,4.21,0.02,-,0.1,0.03,-0.04,-,13.92,0,0,206.6,650,0,88.24,1400.92,257.78,33.04,-116.88,123.8,4.71,0,-
09-Jun-2018 16:40:17.750,-0.22,9.15,3.42,0.02,-,0.05,0.08,-0.12,-,13.92,0,0,206.6,650,0,88.24,1401.37,257.17,33.04,-116.88,123.8,3.12,0,-
09-Jun-2018 16:40:18.753,-0.61,8.49,4.74,-0,-,0.03,-0.01,-0,-,13.92,1,1,206.6,650,0,88.24,1403.44,96.38,33.04,-116.88,123.8,0.84,0,-
09-Jun-2018 16:40:19.751,-0.42,8.49,4.54,0,-,0.03,0.01,-0.01,-,13.92,1,1,206.6,650,0,88.24,1401.58,84.89,33.04,-116.88,123.8,1.09,0,-
09-Jun-2018 16:40:20.752,-0.61,9.02,4.06,0.02,-,0.01,0.07,-0.06,-,13.92,1,1,206.6,650,0,88.24,1396.85,103.02,33.04,-116.88,123.8,0.93,0,-
09-Jun-2018 16:40:21.752,-0.74,8.53,4.33,-0,-,-0,0.02,-0.03,-,13.92,1,1,206.6,650,0,88.24,1393.87,79.12,33.04,-116.88,123.8,2.38,0,-
09-Jun-2018 16:40:22.752,-0.73,8.17,4.64,-0,-,-0,-0.02,-0,-,13.92,0,0,206.6,650,0,88.24,1391.85,71.68,33.04,-116.88,123.8,3.61,0,-
09-Jun-2018 16:40:23.752,-0.57,8.29,4.48,-0.02,-,0.02,-0.01,-0.02,-,13.92,0,0,206.6,650,0,88.24,1389.55,53.49,33.04,-116.88,123.8,4.3,0,-
09-Jun-2018 16:40:24.752,0.14,8.29,4.39,0,-,0.08,-0.01,0.01,-,13.92,0,0,206.6,650,0,88.24,1386.59,46.48,33.04,-116.88,123.8,4.07,0,-
09-Jun-2018 16:40:25.750,-0.34,8.16,4.75,-0.01,-,0.04,-0,0.01,-,13.92,0,1,206.6,650,0,88.24,1378.07,49.31,33.04,-116.88,123.8,5.42,0,-
09-Jun-2018 16:40:26.751,-0.37,8.24,4.87,-0,-,0.1,-0.01,0.03,-,13.92,0,1,206.6,650,0,88.24,1378.55,47.69,33.04,-116.88,123.8,4.86,0,-
09-Jun-2018 16:40:27.750,0.15,8.66,5.04,0.01,-,0.08,0.01,0.03,-,13.92,0,1,206.6,650,0,88.24,1374.54,50.93,33.04,-116.88,123.8,5.16,0,-
09-Jun-2018 16:40:28.752,-0.52,8.49,4.82,0.02,-,0.04,0,0,-,13.92,0,1,206.6,650,0,88.24,1374,47.99,33.04,-116.88,123.8,4.95,0,-
09-Jun-2018 16:40:29.752,-0.55,8.45,4.87,-0.01,-,0.02,0.01,0.02,-,13.92,0,1,206.6,650,0,88.24,1374.35,47.69,33.04,-116.88,123.8,4.52,0,-
09-Jun-2018 16:40:30.752,0.33,8.31,5.13,0.02,-,0.11,-0.01,0.05,-,13.92,0,1,206.6,650,0,88.24,1374.54,56.15,33.04,-116.88,123.8,4.11,0,-
09-Jun-2018 16:40:31.751,0.29,8.14,5.19,0,-,0.1,-0.02,0.06,-,13.92,0,1,206.6,650,0,88.24,1377.31,62.01,33.04,-116.88,123.8,5.39,0,-
09-Jun-2018 16:40:32.754,0.16,8.33,5.03,0.01,-,0.07,-0.01,-0.01,-,13.92,0,1,206.6,650,0,88.24,1379.32,68.21,33.04,-116.88,123.8,5.65,0,-
09-Jun-2018 16:40:33.751,-0.25,8.42,4.64,0,-,0.03,0.02,0.03,-,13.92,0,0,206.6,650,0,88.24,1384.14,113.48,33.04,-116.88,123.8,3.72,0,-
09-Jun-2018 16:40:34.751,-0.21,8.42,4.75,0,-,0.08,-0.03,-0.01,-,13.92,0,0,206.6,650,0,88.24,1388.09,129.22,33.04,-116.88,123.8,3.84,0,-
09-Jun-2018 16:40:35.754,-0.45,8.22,5.13,0.01,-,0.05,-0,0.05,-,13.92,0,0,206.6,650,0,88.24,1390.05,132.94,33.04,-116.88,123.8,4.24,0,-
09-Jun-2018 16:40:36.750,-0.37,7.86,5.63,0.01,-,0.03,-0.06,0.09,-,13.92,0,0,206.6,650,0,88.24,1388.64,142.33,33.04,-116.88,123.8,4.2,0,-
09-Jun-2018 16:40:37.753,-0.11,8.47,4.6,0,-,0.05,-0.04,0.05,-,13.92,1,1,206.6,650,0,88.24,1386.22,155.4,33.04,-116.88,123.8,3.35,0,-
09-Jun-2018 16:40:38.749,-0.4,9.14,3.77,0.03,-,0.03,0.08,-0.09,-,13.92,1,1,206.6,650,0,88.24,1380.47,167.73,33.04,-116.88,123.8,2.46,0,-
