Device Time, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (OBD)(mph)
28-May-2018 13:39:47.891,0.26,6.53,6.94,0.01,-0.01,0.02,0.01,-,13.63,-,0,0.01,45.88,-,347.04,-,-,-,0
28-May-2018 13:39:48.889,0.26,6.53,6.94,0.01,-0.01,0.02,0.01,104,13.63,206.6,0,0.01,46.67,-,347.04,-,-,154.4,0
28-May-2018 13:39:49.892,0.01,6.67,7.03,0,0.01,-0.01,0.02,104,13.63,206.6,825,0.01,46.67,-,347.04,-,-,154.4,0
28-May-2018 13:39:50.889,0.12,6.53,7.14,0,-0,0.01,0.02,104,14.36,206.6,825,0.01,46.67,77.57,201.77,35.4,-119.4,154.4,0
28-May-2018 13:39:51.902,0.07,6.68,7,0,-0.01,0.03,0,104,14.36,206.6,825,0.01,46.67,156.98,236.13,35.4,-119.4,154.4,0
28-May-2018 13:39:52.890,0.12,6.3,7.19,-0.01,-0,-0.01,0.02,104,14.36,206.6,822,0.01,46.67,168.98,50.28,35.4,-119.4,154.4,0
28-May-2018 13:39:53.892,0.33,6.57,6.9,-0.01,0.02,0.02,-0.01,104,14.36,206.6,822,0.01,46.67,161.26,219.47,35.4,-119.4,154.4,0
28-May-2018 13:39:54.889,0.19,6.32,7.17,-0.01,0.01,0.01,0.02,104,14.36,206.6,822,0.02,46.67,148.42,224.37,35.4,-119.4,154.4,0
28-May-2018 13:39:55.889,0.23,6.76,6.85,-0,0,0.02,-0,104,14.36,206.6,823,0.02,46.67,136.68,235.98,35.4,-119.4,154.4,0
28-May-2018 13:39:56.889,0.29,6.44,6.87,-0.03,0.02,0.01,0.01,104,14.36,206.6,823,0.02,46.67,125.25,236.26,35.4,-119.4,154.4,0
28-May-2018 13:39:57.889,0.27,6.56,6.81,-0.01,0.01,0.02,-0.02,104,14.36,206.6,819,0.02,46.67,116.03,220.17,35.4,-119.4,154.4,0
28-May-2018 13:39:58.890,0.19,6.74,6.83,-0.01,0,0.03,-0.02,104,14.36,206.6,815,0.02,46.67,103.36,214.03,35.4,-119.4,154.4,0
28-May-2018 13:39:59.890,0.34,6.52,6.92,-0.01,0.01,0.02,0,104,14.36,206.6,822,0.02,46.67,113.06,265.83,35.4,-119.4,154.4,0
28-May-2018 13:40:00.888,0.11,6.65,6.93,-0.01,0,0.03,-0.01,104,14.36,206.6,822,0.02,46.67,94.68,228.36,35.4,-119.4,154.4,0
28-May-2018 13:40:01.890,0.14,6.73,6.99,0,0,0.03,0,104,14.36,206.6,817,0.02,46.67,76.7,226.4,35.4,-119.4,154.4,0
28-May-2018 13:40:02.888,0.38,6.87,6.88,-0.01,0.02,0.05,-0.01,104,14.36,206.6,820,0.02,46.67,76.7,241.97,35.4,-119.4,154.4,0
28-May-2018 13:40:03.888,0.14,6.8,6.9,0,0,0.04,-0.01,104,14.36,206.6,829,0.02,46.67,76.7,217.24,35.4,-119.4,154.4,0
28-May-2018 13:40:04.888,0.26,7.05,6.57,0,0.01,0.07,-0.04,104,14.36,206.6,810,0.02,46.67,76.7,58.53,35.4,-119.4,154.4,0
28-May-2018 13:40:05.889,0.62,6.41,7.13,-0.01,0.03,0.06,-0.01,104,14.36,206.6,810,0.02,46.67,52.2,63.11,35.4,-119.4,154.4,0
28-May-2018 13:40:06.889,0.54,6.88,6.78,0,0.13,-0.02,0.03,104,14.36,206.6,810,0.02,46.67,56.1,80.33,35.4,-119.4,154.4,0
28-May-2018 13:40:07.888,0.66,6.39,7.04,-0.01,0.02,-0.01,0.02,104,14.36,206.6,810,0.02,46.67,62.76,80.25,35.4,-119.4,154.4,0
28-May-2018 13:40:08.890,0.54,6.73,6.73,-0.01,0.05,0.03,-0.03,104,14.36,206.6,897,0.02,46.67,69.9,104.19,35.4,-119.4,154.4,3.73
28-May-2018 13:40:09.889,0.39,6.4,6.77,-0.02,0.03,-0,-0.02,104,14.36,206.6,890,0.02,46.67,76.58,113.3,35.4,-119.4,154.4,4.35
28-May-2018 13:40:10.890,0.76,6.8,6.73,-0.01,0.06,0.04,-0.03,104,14.36,206.6,1021,0.02,46.67,98.29,141.68,35.4,-119.4,154.4,4.97
28-May-2018 13:40:11.891,1.24,6.77,6.77,-0.02,0.11,0.04,-0.02,102.2,14.36,206.6,1021,0.03,46.67,112.47,150.32,35.4,-119.4,154.4,4.97
28-May-2018 13:40:12.891,1.25,6.43,7.23,0.01,0.11,0,0.02,102.2,14.36,206.6,980,0.02,46.67,197.51,178.47,35.4,-119.4,154.4,6.21
28-May-2018 13:40:13.891,0.57,6.28,6.99,-0.01,0.04,-0.01,0,102.2,14.36,206.6,983,0.02,46.67,195.9,174.49,35.4,-119.4,156.2,6.21
28-May-2018 13:40:14.889,0.64,6.27,7.13,-0.01,0.05,-0.01,0.01,102.2,14.36,206.6,961,0.02,46.67,199.4,209.46,35.4,-119.4,156.2,6.21
28-May-2018 13:40:15.890,0.67,6.32,7.27,-0.02,0.05,-0.01,0.03,102.2,14.36,206.6,945,0.02,46.67,196.17,220.35,35.4,-119.4,156.2,6.21
28-May-2018 13:40:16.891,-0.41,6.47,6.72,-0.03,-0.02,0.02,0.02,102.2,14.36,206.6,904,0.02,46.67,193.7,231.96,35.4,-119.4,156.2,5.59
28-May-2018 13:40:17.889,-0.21,6.44,6.98,-0.02,-0.04,-0,0.01,102.2,14.36,206.6,910,0.02,46.67,193.31,225.61,35.4,-119.4,156.2,5.59
28-May-2018 13:40:18.890,-0.04,6.61,7.36,-0.01,0,-0.04,0.03,102.2,14.36,206.6,910,0.02,46.67,191.4,217.21,35.4,-119.4,156.2,5.59
28-May-2018 13:40:19.891,-0.18,6.45,7.13,-0,-0.04,0.04,-0.02,102.2,14.36,206.6,903,0.02,46.67,189.52,219.98,35.4,-119.4,156.2,5.59
28-May-2018 13:40:20.891,-0.43,6.56,7.01,-0.01,-0.03,-0.01,0.02,102.2,14.36,206.6,894,0.02,46.67,188.25,210.44,35.4,-119.4,156.2,5.59
28-May-2018 13:40:21.888,0.11,6.48,7,-0.01,-0,0.01,0,102.2,14.36,206.6,859,0.02,46.67,184.36,197.98,35.4,-119.4,156.2,5.59
28-May-2018 13:40:22.891,-0.01,6.57,6.97,-0,-0.02,0.02,-0,102.2,14.36,206.6,881,0.02,46.67,181.96,191.07,35.4,-119.4,156.2,4.97
28-May-2018 13:40:23.890,0.39,6.21,7.33,-0.01,0.03,-0.02,0.03,102.2,14.36,206.6,889,0.02,46.67,179.77,188.46,35.4,-119.4,156.2,4.97
28-May-2018 13:40:24.890,0.45,6.09,7.29,-0.02,0.03,-0.03,0.03,102.2,14.36,206.6,869,0.02,46.67,180.21,189.43,35.4,-119.4,156.2,4.35
28-May-2018 13:40:25.892,0.38,6.36,7.28,-0,0.02,-0,0.03,102.2,14.36,206.6,869,0.02,46.67,179.2,193.28,35.4,-119.4,156.2,4.35
28-May-2018 13:40:26.890,0.36,6.01,7.4,-0.01,0.02,-0.02,0.02,102.2,14.36,206.6,815,0.02,46.67,178.46,195.11,35.4,-119.4,156.2,2.49
28-May-2018 13:40:27.889,0.38,6.39,7.1,-0.01,0.02,-0.02,0.04,102.2,14.36,206.6,819,0.02,46.67,177.55,186.59,35.4,-119.4,156.2,2.49
28-May-2018 13:40:28.889,0.32,6.68,6.85,-0.01,0.02,0.05,-0.03,102.2,14.36,204.8,836,0.02,46.67,179.4,193.11,35.4,-119.4,156.2,1.24
28-May-2018 13:40:29.888,0.45,6.79,6.9,0,0.04,0.02,-0.02,102.2,14.36,204.8,831,0.02,46.67,180.6,173.53,35.4,-119.4,156.2,1.24
28-May-2018 13:40:30.888,0.44,6.66,6.9,-0.01,0.01,0.05,-0.02,102.2,14.36,204.8,839,0.02,46.67,179.84,192.45,35.4,-119.4,156.2,2.49
28-May-2018 13:40:31.888,0.41,6.22,7.18,-0.01,0.03,-0.02,0.02,102.2,14.36,204.8,821,0.02,46.67,178.39,194.27,35.4,-119.4,156.2,2.49
28-May-2018 13:40:32.891,0.59,5.94,7.58,-0,0.05,-0.05,0.06,102.2,14.36,206.6,821,0.02,46.67,179.43,191.44,35.4,-119.4,156.2,2.49
28-May-2018 13:40:33.889,0.29,6.01,7.31,-0.01,0.01,-0.04,0.03,102.2,14.36,206.6,832,0.02,46.67,180.84,197.71,35.4,-119.4,156.2,0
28-May-2018 13:40:34.889,0.22,6.5,7.13,-0,0.01,0.01,0.01,104,14.36,206.6,832,0.02,46.67,180.84,232.06,35.4,-119.4,156.2,0
28-May-2018 13:40:35.890,0.45,6.62,7.02,-0.01,0.03,0.02,0,104,14.36,206.6,841,0.02,46.67,181.36,232.06,35.4,-119.4,156.2,0
28-May-2018 13:40:36.889,0.4,6.47,6.9,-0.02,0.03,0,0.02,104,14.36,206.6,839,0.02,46.67,181.36,232.06,35.4,-119.4,156.2,0
28-May-2018 13:40:37.889,0.34,6.57,6.91,-0.02,0.03,-0.02,0.01,104,14.36,206.6,836,0.02,46.67,181.36,232.06,35.4,-119.4,156.2,0
28-May-2018 13:40:38.890,0.31,6.33,7.11,-0.01,0.02,0.02,-0.01,104,14.36,206.6,836,0.02,46.67,181.36,232.06,35.4,-119.4,156.2,0
28-May-2018 13:40:39.889,0.4,6.72,7.13,0,0.04,0.01,0.02,104,14.36,206.6,836,0.02,46.67,181.36,232.06,35.4,-119.4,156.2,0
28-May-2018 13:40:40.890,0.39,6.33,7.12,-0.01,0.02,0.03,-0.01,104,14.36,206.6,838,0.02,46.67,181.36,232.06,35.4,-119.4,156.2,0
28-May-2018 13:40:41.888,0.3,6.43,6.99,-0.02,0.02,0,0,104,14.36,206.6,837,0.02,46.67,181.36,232.06,35.4,-119.4,156.2,0
28-May-2018 13:40:42.889,0.4,6.82,6.83,-0.01,0.03,0.04,-0.02,104,14.36,206.6,835,0.02,46.67,181.36,232.06,35.4,-119.4,156.2,0
28-May-2018 13:40:43.888,0.34,6.64,6.86,-0.01,0.02,0.02,-0.01,105.8,14.36,206.6,831,0.02,46.67,181.36,232.06,35.4,-119.4,156.2,0
28-May-2018 13:40:44.889,0.21,6.75,6.69,-0.01,0.01,0.04,-0.03,105.8,14.36,206.6,828,0.02,46.67,181.36,232.06,35.4,-119.4,156.2,1.86
28-May-2018 13:40:45.888,0.53,6.63,6.85,-0.01,0.01,0.04,-0.02,105.8,14.36,206.6,820,0.02,46.67,182.42,188.85,35.4,-119.4,156.2,2.49
28-May-2018 13:40:46.888,0.34,6.31,7.29,-0.02,0.03,-0,-0,105.8,14.36,206.6,820,0.02,46.67,182.12,186.68,35.4,-119.4,156.2,2.49
28-May-2018 13:40:47.889,0.5,6.45,7.21,0,0.02,-0.02,0.04,105.8,14.36,206.6,817,0.02,46.67,182.17,190.19,35.4,-119.4,156.2,2.49
28-May-2018 13:40:48.890,0.32,6.21,7.38,-0,0.01,0,0.02,105.8,14.36,206.6,816,0.02,46.67,181.6,192.88,35.4,-119.4,156.2,1.86
28-May-2018 13:40:49.888,0.35,6.16,7.25,-0.01,0.01,-0.03,0.05,105.8,14.36,206.6,832,0.02,46.67,180.93,204,35.4,-119.4,156.2,0
28-May-2018 13:40:50.889,0.3,6.44,7.12,-0.01,0.02,0,0.01,105.8,14.36,206.6,829,0.02,46.67,181.07,204,35.4,-119.4,156.2,0
28-May-2018 13:40:51.890,0.44,6.62,6.88,-0.01,0.03,0.02,-0.01,105.8,14.36,206.6,833,0.02,46.67,181.07,204,35.4,-119.4,156.2,0
28-May-2018 13:40:52.890,0.24,6.59,7.05,-0,0.01,0.02,0.01,105.8,14.36,206.6,836,0.02,46.67,181.07,204,35.4,-119.4,156.2,0
